"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text__type","messages__text__text","messages__text","messages__text__href","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__reply_to_message_id","messages__edited","messages__actor","messages__actor_id","messages__action","messages__message_id"
"","","","","","","","","","","","bold","Усюкевич Дмитрий Иванович","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," (27.06.1973) Отряд милиции особого назначения, подполковник милиции.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","Давидович Сергей Викторович","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," (14.02.1968). Подполковник милиции, заместитель начальника отдела идеологической работы и кадрового обеспечения ОМОН ГУВД Мингорисполкома. Авто Volvo S70 5072ВН7 (собственник формально не он).\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","Протасевич Василий Викторович","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," (27.03.1980). Капитан милиции. Авто BMW 525 3860ОТ7.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","Кашталанов Александр Иванович","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," (04.07.1969). Полковник милиции, заместитель командира ОМОН ГУВД Мингорисполкома, начальник отдела идеологической работы и кадрового обеспечения. Авто Lexus LS460 0016ВХ7.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","Кондрашевич Олег Иванович","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," (25.10.1968). Подполковник милиции, командир 4 роты ОМОН ГУВД Мингорисполкома. Авто Geely 8066ЕН2 (формально собственник не он).\n\nЖивут перечисленные в служебных домах по адресу: ","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","Минск, ул. Героев 120 дивизии, дома 46-47-48","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",", как и многие другие, кто служит в ОМОНе.","","","","","","","","","","","","",""
"","","","11173","message","2020-09-16T04:23:04","NEXTA Live","10003210496","","","","text_link","​​","","https://telegra.ph/file/961c04e542aec3b91f192.jpg","","","","","","","","","","","",""
"","","","","","","","","","","","bold","Хасиды не оставляют попыток прорваться через белорусско-украинскую границу\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Украинские пограничники сообщают, что задержали хасида, который пытался по болоту перейти границу. На него составили протокол и вернули в Беларусь. Ему также на пять лет запретили въезд в Украину.\n\nХасиды пытаются попасть в украинский город Умань, чтобы по традиции отпраздновать еврейский Новый год. В Умани похоронен Рабби Нахман — основатель одного из течений хасидизма.\n\nВ условиях запрета на въезд в Украину (до 28 сентября въезд иностранцам в страну запрещен из-за коронавируса) и того, что между Израилем и Украиной пока нет авиасообщения, сотни хасидов решили испытать судьбу и все-таки попробовать попасть в Украину через Беларусь. В итоге в Беларусь они попали, но на границе с Украиной их не пропускают.\n\nВот уже несколько дней на белорусско-украинской границы находятся более тысячи ортодоксальных евреев. Паломники остаются в нейтральной зоне. По заявлению главы Госпогранслужбы Сергея Дейнеко ожидается прибытие к границам Украины еще 4 тысяч хасидов.\n\nГлава МВД Израиля Арье Дери попросил президента Украины Владимира Зеленского пропустить в страну паломников-хасидов из Беларуси. В свою очередь, заместитель министра иностранных дел Украины Евгений Енин заявил, что к усилиям Израиля относятся «с пониманием», но, по его словам, этот вопрос может решаться только путем переговоров правительств двух государств.","","","","","","","","","","","","",""
"","","","11174","message","2020-09-16T04:45:59","NEXTA Live","10003210496","","","","bold","Американская компания Sandvine, которая поставляла в Беларусь технологию блокировки интернет-трафика, расторгла сделку. Свое решение IT-компания объяснила тем, что «правительство использовало технологию для нарушения прав человека». ","","","","","","","","","11077","2020-09-16T04:47:02","","","",""
"","","","","","","","","","","","","","Об этом сообщает Bloomberg.\n\nТакже американская фирма заявила, что в ее продукты был добавлен «пользовательский код», ","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","«чтобы помешать свободному потоку информации во время выборов в Беларуси».\n\nПосле расторжения сделки:\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","- технология прекратит получать обновления\n- у специалистов не будет техподдержки\nНо оборудование пока что будет доступно для использования.","","","","","","","","","","","","",""
"","","","11175","message","2020-09-16T05:43:24","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","765","510","bold","СМИ: Неонацист Максим Марцинкевич, известный как Тесак, покончил с собой\n\n","","","","","","","","","","2020-09-16T05:47:59","","","",""
"","","","","","","","","","","","","","По сообщению Baza, его тело нашли в одиночной камере следственного изолятора в СИЗО-3 Челабинска, откуда его собирались этапировать в Москву.\n\nТакже Baza пишет, что Тесак оставил предсмертную записку. В ней он заявил, что не хочет доставлять неприятностей администрации СИЗО-3 и попросил передать своей гражданской супруге, живущей в Екатеринбурге, книгу про коммунизм и личный дневник.\n\nЗаписку он закончил словами «Простите меня».\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","❗️❗️❗️Официально эта информация не","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","подтверждена. Пока что убийство подтвердило агентство ТАСС со ссылкой на свой источник","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",".\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","РИА новости сообщают, что адвокат Тесака пока не подтверждает сообщения о его самоубийстве.\n\nВ","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," 2018 году Марцинкевич, который в тот момент уже находился в заключении, был осужден на 10 лет строгого режима за нападения на людей, которых считал наркоторговцами. Одна из жертв таких нападений скончалась.","","","","","","","","","","","","",""
"","","","11176","message","2020-09-16T05:58:20","NEXTA Live","10003210496","","","","","","Федеральная служба исполнения наказаний подтвердила самоубийство Тесака.","","","","","","","","11175","","","","",""
"","","","11177","message","2020-09-16T07:54:04","NEXTA Live","10003210496","","","","bold","Ситуацию с хасидами на белорусско-украинской границе спровоцировали «де-факто действующие белорусские власти». Об этом говорится в заявлении Офиса президента Украины.\n\n","","","","","","","","","11173","","","","",""
"","","","","","","","","","","","italic","«Призываем белорусские власти прекратить создавать дополнительное напряжение на границе с нашим государством и не распространять ложные обнадеживающие заявления для паломников, которые могут создать у них ощущение, что граница Украины все же может быть открыт для иностранцев»","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",", – заявили в Офисе президента Украины.","","","","","","","","","","","","",""
"","","","11178","message","2020-09-16T08:25:40","NEXTA Live","10003210496","","","","text_link","​​","","https://telegra.ph/file/2e7fdc47e79722bf50b84.jpg","NEXTA","","","","","","","","","","",""
"","","","","","","","","","","","bold","Пытки ОМОНа\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Невозможно перечислить все зверства и издевательства карателей над протестующими. Мы выбрали 10 фактов жестокого и недопустимого обращения с людьми. Вот чем занимаются «невиновные» каратели.\n\n1. Изнасилование мужчины резиновой дубинкой;\n2. Силовики наступали на сломанную ногу и пинали по ней;\n3. Разрезали сзади шорты и угрожали, что засунут в задний проход гранату;\n4. Переломы, выбитые зубы, рассечения мягких тканей и ожоги от электрошокера, а также черепно-мозговые травмы различной степени тяжести;\n5. Избивали кулаками, ногами и дубинками, часами заставляли стоять, находиться на коленях или лежать в стрессовых позах и сутками держали в переполненных сверх всякой меры камерах;\n6. Журналист из Гродно предъявил свою пресс-карту, но его все равно забрали, и при этом омоновец сломал ему оба запястья;\n7. Омоновец выстрелил в упор в человека резиновой пулей и потребовалась операция, чтобы извлечь пулю из легких;\n8. У человека, оставленного без инсулина на момент перевода в больницу наступила клиническая смерть;\n9. Задержанному омоновцы отрезали дреды;\n10. Поставили на колени лицом к спине следующего задержанного и стянули руки сзади пластиковой стяжкой. Стяжка была настолько тугая, что кровоточили запястья.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«Задокументированные нами пытки и недозволенное обращение нарушают целый ряд международных обязательств, которые Беларусь несет, в частности, как участник Международного пакта о гражданских и политических правах и Конвенции ООН против пыток, а также как член ОБСЕ»,","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," — пишет HWR.\n\nНичто не будет забыто.","","","","","","","","","","","","",""
"","","","11179","message","2020-09-16T10:56:21","NEXTA Live","10003210496","","","","","","❗️❗️❗️","","","","","","","","","2020-09-17T07:04:46","","","",""
"","","","","","","","","","","","bold","Завтра лукашисты собирают так называемый «Белорусский союз женщин» в Минск-арене на концерте в поддержку узурпатора! Организация тусовки проходит в «подпольных» условиях из-за страха срыва. \n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Рабы системы планируют это мероприятие как ответ субботним женским маршам. По классике, в добровольно-принудительном порядке, на тусовку будут свозить людей с регионов. По нашим данным пленных бюджетниц планируют доставить аж 10 000 штук!\n\nПодготовка к концерту проводится в строжайшей секретности. «Государевы люди» боятся, что артисты откажутся от участия в шабаше, как это ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","было 8 августа","","https://t.me/nexta_live/5237","","","","","","","","","","","",""
"","","","","","","","","","","","","",". Как сообщают наши источники, из «хедлайнеров» своё участие подтвердили Руслан Алехно, Александр Солодуха и Николай Басков (","","","","","","","","","","","","",""
"","","","","","","","","","","","link","https://instagram.com/nikolaibaskov","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","). Также были приглашены следующие артисты и коллективы: \n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«Next»\n«Radidance»\nвокальный коллектив Татьяны Трухан\nРуслан Чернецкий\nСергей Луговский\nЮлия Быкова\nВиктория Алешко\nАнатолий Ярмоленко\nансамбль «Сябры»\nшоу-балет «Феерия»\nАлена Ланская\nГосударственный академический ансамбль танца Беларуси\nНациональный хор им. Г.И. Цитовича\nИрина Дорофеева\nЖанет\nшоу-театр Татьяны Пановой «Хвілінка»\nарт-группа «Беларусы»\nгруппа «Аура»\nАлександра и Валентина Груздевы\nансамбль «Заранак»\nСтефания Соколова\nАртем Скороль\nКсения Галецкая\nдетская танцевальная группа «Сябрынка»\nМаркевич Вика\nКязумова Александра\nВладимир Арутюнян\nАндрей Колосов\nАлександр Авраменко\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Как нам стало известно, этот концерт одновременно тренировка по проведению больших мероприятий «втихаря» и репетиция инаугурации. Для фашистского режима важность его проведения переоценить сложно.","","","","","","","","","","","","",""
"","","","11180","message","2020-09-16T11:43:24","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","657","911","","","А вот так выглядит «организация» секретного шабаша.","","","","","","","","11179","","","","",""
"","","","11181","message","2020-09-16T11:43:25","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1080","1249","","","","","","","","","","","11179","","","","",""
"","","","11182","message","2020-09-16T11:43:25","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1080","1210","","","","","","","","","","","11179","","","","",""
"","","","11183","message","2020-09-16T13:10:17","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1280","960","bold","Новая партия чешских светошумовых гранат направляется в Беларусь?\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Фура с белорусскими номерами и без опознавательных знаков сегодня была замечена въезжающей на территорию завода ZEVETA в чешском городе Бойковице.\n\nЭтот завод, в том числе, занимается производством светошумовых гранат. А с учётом того, что ранее ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","чешские боеприпасы использовались карателями при атаках на белорусов","","https://t.me/nexta_tv/3624","","","","","","","","","","","",""
"","","","","","","","","","","","","",", появление фуры на Zeveta наводит на определённые мысли.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","На самом заводе сразу отрицали появление фуры, а потом перестали отвечать на номера указанные на их официальном сайте. Мы уже передали эту информацию в компетентные органы Европейского союза для проверки и ждём официальных комментариев.","","","","","","","","","","","","","",""
"","","","11184","message","2020-09-16T13:10:17","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1280","960","","","","","","","","","","","","","","","",""
"","","","11185","message","2020-09-16T13:10:18","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1280","960","","","","","","","","","","","","","","","",""
"","","","11186","message","2020-09-16T13:46:44","NEXTA Live","10003210496","","","","","","‼️Министр финансов РФ Антон Силуанов ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","сообщил","","https://tass.ru/ekonomika/9476071","","","","","","","","","","","",""
"","","","","","","","","","","","","",", что Россия даст кредит Беларуси в два этапа — $1 млрд предоставят в 2020 году, а $500 млн — в 2021 году.","","","","","","","","","","","","",""
"","","","11188","message","2020-09-17T03:57:53","NEXTA Live","10003210496","","640","640","bold","Стало известно, откуда взялась та самая бутылка из-под воды, которой отравился Алексей Навальный\n\n","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","59","","","","","",""
"","","","","","","","","","","","","","""Бутылка с „новичком“ была обнаружена в номере томской гостиницы, где останавливался Навальный и вся его съёмочная группа. Об этом сообщается на его странице в","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link"," instagram","","https://www.instagram.com/accounts/login/?next=/p/CFOnffrHZ0d/%3Futm_source%3Dig_web_copy_link","","","","","","","","","","","",""
"","","","","","","","","","","","","",". \n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«Сразу после известия о том, что Навальному стало плохо, сотрудники ФБК, которые остались в Томске, вызвали адвоката и поднялись в номер, из которого только что выехал Навальный, и начали фиксировать, описывать и упаковывать всё, что нашли. В том числе и бутылки из-под гостиничной воды»","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," — говорится в сообщении. \n\nСпустя две недели именно на бутылке из томского номера немецкая лаборатория обнаружила следы «Новичка». А потом ещё три лаборатории, которые брали анализы у Алексея, подтвердили, что Навальный был отравлен именно им. \n\nНапомним, что Алексей Навальный уже пришёл в себя, ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","его отключили от ИВЛ","","https://t.me/nexta_live/11138","","","","","","","","","","","",""
"","","","","","","","","","","","","",". Политик идёт на поправку.","","","","","","","","","","","","",""
"","","","11189","message","2020-09-17T04:35:04","NEXTA Live","10003210496","","720","1280","","","Стало известно о времени проведения так называемого концерта ","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","13","","2020-09-17T04:41:46","","","",""
"","","","","","","","","","","","text_link","в поддержку узурпатора","","https://t.me/nexta_live/11181","","","","","","","","","","","",""
"","","","","","","","","","","","","",". Секретный концерт для женщин пройдёт в «Минск-Арене» в 17:00. Веселить присутствующих будут звёзды белорусской эстрады. Интересно,  что случилось с российскими звёздами? Неужели Басков и компания отказались принимать участие на балу Сатаны?\n\nИнформацию о времени и месте вакханалии стали рассылать на внутреннюю почту госпредприятий. О своём прибытии следует сообщить по секретному номеру за 10 минут. \n\nТакже с самого утра из регионов в Минск начали стягиваться колонны автобусов. Судя по всему, свозят ябатек, согласных на всё.","","","","","","","","","","","","",""
"","","","11190","message","2020-09-17T04:35:04","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","705","269","","","","","","","","","","","","","","","",""
"","","","11191","message","2020-09-17T05:45:38","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1106","843","","","«Женщины за батьку! Любимую не отдадим!» — к нам в руки попала часть сценария сегодняшнего концерта в поддержку бывшего президента. А судя по тому, что почти весь концерт ябатьки самостоятельно будут петь заранее выученные песни, выступать на данном «празднике жизни» из приведённого нами ранее ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","списка звёзд","","https://t.me/nexta_live/11179","","","","","","","","","","","",""
"","","","","","","","","","","","",""," согласились немногие.","","","","","","","","","","","","",""
"","","","11192","message","2020-09-17T05:45:38","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","834","1220","","","","","","","","","","","","","","","",""
"","","","11193","message","2020-09-17T05:45:39","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","986","720","","","","","","","","","","","","","","","",""
"","","","11194","message","2020-09-17T05:45:39","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1042","768","","","","","","","","","","","","","","","",""
"","","","11195","message","2020-09-17T07:16:24","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","750","617","","","Помощник бывшего президента Беларуси Валерий Бельский ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","заявил","","https://www.belta.by/comments/view/demokratija-dolzhna-byt-effektivnoj-chto-ne-tak-v-ulichnyh-protestah-7486/","","","","","","","","","","","",""
"","","","","","","","","","","","","",", что ","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«Беларусь раздражает своими успехами европейские политэлиты»","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",". \n\nНаверное речь идёт об успехах Таракана в стремительном падении вниз.","","","","","","","","","","","","",""
"","","","11196","message","2020-09-17T08:13:40","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1000","667","bold","Польша предложила ЕС «план Маршалла» для Беларуси на €1 млрд\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Варшава предложит лидерам Евросоюза разработать «план Маршалла» для Беларуси, который будет включать создание стабилизационного фонда на сумму не менее €1 млрд.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«Это должно позволить белорусской экономике в ее текущей ситуации стабилизироваться и оправдать ожидания инвесторов, чтобы у нее снова были перспективы для выпуска нового государственного долга»","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," — ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","сказал премьер-министр","","https://www.reuters.com/","","","","","","","","","","","",""
"","","","","","","","","","","","",""," Польши Матеуш Моравецкий в Вильнюсе после встречи с премьер-министром Литвы Саулюсом Сквернялисом.","","","","","","","","","","","","",""
"","","","11198","message","2020-09-17T09:42:56","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1000","555","bold","«Я умираю. У меня нет сил. Мои кости болят. Не знаю, сколько мне осталось жизни»: лидер азербайджанской оппозиции 16-й день держит голодовку в знак поддержки белорусского народа\n\n","","","","","","","","","","2020-09-17T09:44:50","","","",""
"","","","","","","","","","","","","","Известный азербайджанский оппозиционер Тофиг Ягублу по сфабрикованному делу был приговорён к четырём годам и трём месяцам лишения свободы. 2 сентября политик объявил о своей голодовке. Со временем здоровье Ягублу стало стремительно ухудшаться. Сейчас он находится в частной клинике. \n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«Возникла острая необходимость в переливании крови. Врач отметил, что его жизни угрожает серьёзная опасность. Он может впасть в кому в любой момент»","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," — описала состояние политика его дочь Нигяр Хаси. \n\nОна также процитировала слова Ягублу: ","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«Я умираю. У меня нет сил. Мои кости болят. Не знаю, сколько мне осталось жизни. Просто знайте, что эту борьбу я посвятил Мамедамину Расулзаде. Таким образом, я также поддерживаю народ Беларуси, который борется за демократию»","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",".","","","","","","","","","","","","",""
"","","","11199","message","2020-09-17T10:49:21","NEXTA Live","10003210496","","","","","","❗️","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","Светлана Тихановская 21 сентября выступит на встрече глав МИД ЕС в Брюсселе.","","","","","","","","","","","","","",""
"","","","11200","message","2020-09-17T12:52:15","NEXTA Live","10003210496","","","","bold","«Перемены» в понимании Лукашенко, или план оккупационных властей на ближайшее время\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","На встрече с так называемым «политическим активом» узурпатор проанонсировал своё видение «реформ». Фактически он озвучил программный текст, который незадачливые государственники будут пытаться реализовать в ближайшее время.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","Основные тезисы:\n\n🔴 Общенациональный диалог о новой Конституции\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Правда, поскольку несогласных с ним граждан Беларуси узурпатор открыто называет уголовниками и отморозками, общенациональный диалог будет вестись не с ними, а с прикорытными чиновниками. Для этого зимой будет проведено так называемое «Всебелорусское собрание». На какие «изменения» будут готовы пойти согнанные рабы системы — догадаться несложно.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","🔴 Реформа партийной системы\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Вот что Таракан сказал о тех партиях, которые на прошлой неделе осудили насилие против народа и призвали к проведению новых выборов: «","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","Мы же понимаем, что это не партии. Когда 10 из них отклонились от своих уставов, задач и требуют новых выборов. Министру юстиции поручаю тщательно посмотреть на все партии — соответствуют ли они требованиям по численности, структуре, работают ли по своему уставу. Надо провести их перерегистрацию","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","». То есть партийное строительство в понимании Лукашенко это ликвидация тех партий, которые не согласны с линией власти и еще большее ужесточение режима.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","🔴 Реформа избирательной системы\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Узурпатор заявил: «","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","Необходимо совершенствовать наше избирательное законодательство. На президентских выборах, на прошедших в прошлом году парламентских выборах выявлен целый ряд нестыковок, различных лазеек, которыми пользуются недобросовестные кандидаты и их доверенные лица","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","». То есть, ещё больше всё завинтить. Чтобы не допустить честного подсчёта голосов ни на одном участке.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","🔴 Работа государственных СМИ\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","После демарша ряда государственных журналистов и даже главы президентского пула с ОНТ Дмитрия Семченко, Лука постановил: «","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","средства массовой информации должны быть проводниками государственной идеологии, а журналисты — самой государственной категорией специалистов","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","». Тут и добавить нечего — про независимую прессу в ближайшей перспективе можно забыть.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","Если подытожить — реформы в понимании Лукашенко это превращение авторитарного режима в полноценную диктатуру а-ля КНДР. Вы готовы к таким «переменам»? Вот и мы не особо впечатлились.","","","","","","","","","","","","","",""
"","","","11202","message","2020-09-17T13:32:59","NEXTA Live","10003210496","","","","","","⚡️⚡️","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","Лукашенко объявил о закрытии границ с Западом. Это — железный занавес!","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","\n\nВыступая на женском «форуме», белорусский диктатор заявил, что границы с Западом будут закрыты — прежде всего с Польшей и Литвой. Также усилят охрану на границе с Украиной.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","С учётом того, что РФ также закрыла границы, Беларусь фактически оказалась за железным занавесом — выехать из страны будет невозможно.","","","","","","","","","","","","","",""
"","","","11203","message","2020-09-17T14:31:40","NEXTA Live","10003210496","","","","","","Пограничники сообщают, что пункты пропуска как с Литвой, так и с Польшей ","","","","","","","","11202","","","","",""
"","","","","","","","","","","","bold","работают в штатном режиме","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," и официальной информации о закрытии границы им не поступало. \n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","Лукашенко пошёл на очередной блеф для привлечения к себе внимания?","","","","","","","","","","","","","",""
"","","","11205","message","2020-09-18T02:42:47","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","620","473","italic","«Так что — попейте водички, господин Лукашенко — успокойтесь»","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," — глава МВД Украины Арсений Аваков прокомментировал сложившуюся ситуация с белорусскими границами. \n\nА на слова Лукашенко о вмешательстве Украины во внутренние дела Беларуси Аваков ответил: ","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«Лукашенко похоже совсем свихнулся на своей власти и паранойи вокруг этого. Несёт полную чушь. Тексты, вероятно, получил от Путина».","","","","","","","","","","","","","",""
"","","","11209","message","2020-09-18T04:23:50","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","968","544","bold","Президент Светлана Тихановская прокомментировала заявление Лукашенко о закрытии границ\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«Лукашенко уже пугал нас несуществующими врагами, обвинял мирных людей в насилии, а настоящих патриотов — в предательстве Родины. Но то, что он вчера наговорил про закрытие границ — это новый уровень отрыва от реальности. \n\nЭто слова слабого человека из его собственного воображаемого мира. Не слушайте и не обращайте внимания на то, что говорит Лукашенко. Он потерял всякое доверие. Все наши соседи — наши друзья. Все беларусы — один народ»","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," — сказала Светлана.","","","","","","","","","","","","",""
"","","","11210","message","2020-09-18T05:01:05","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1080","1018","bold","Лукашенко продолжает уничтожать белорусскую экономику\n\n","","","","","","","","","","2020-09-18T05:09:53","","","",""
"","","","","","","","","","","","","","На фоне вчерашних заявлений бывшего президента Беларуси о закрытии границ, начала снижаться стоимость государственных облигаций.\n\nВолатильность стоимости облигаций на рынке сравнима теперь с ситуацией в Венесуэле.\n\nИсточник: Банкста","","","","","","","","","","","","",""
"","","","11211","message","2020-09-18T05:52:26","NEXTA Live","10003210496","","","","","","Известный российский журналист и видеоблогер Юрий Дудь побывал в гостях у нашей редакции в Варшаве. Обсудили белорусские протесты, фейки, почему Польша помогает Беларуси и многое другое. \n\nВ общем, ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","оцените сами","","https://www.youtube.com/watch?v=jrOxsjdeccw&t=1424s","","","","","","","","","","","",""
"","","","","","","","","","","","","",". Приятного просмотра!","","","","","","","","","","","","",""
"","","","11212","message","2020-09-18T07:06:37","NEXTA Live","10003210496","","","","text_link","​​","","https://telegra.ph/file/8c4d7dc9406c95443a5e8.jpg","NEXTA","","","","","","","","","","",""
