"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__width","messages__height","messages__text__type","messages__text__text","messages__text","messages__text__href","messages__photo","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__reply_to_message_id","messages__forwarded_from","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen"
"","","","8120","message","2020-08-11T18:15:31","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","8","480","480","","","Лида дала отпор карателям! Вы молодцы!","","","","","","","8116","","","","","","",""
"","","","8121","message","2020-08-11T18:15:32","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","10","640","360","","","","","","","","","","8116","","","","","","",""
"","","","8122","message","2020-08-11T18:37:57","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","960","1280","","","Жлобин водрузил победный бело-красно-белый флаг в центре города!","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8123","message","2020-08-11T19:14:46","2020-08-11T19:19:13","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","86","256","480","bold","""Мирное население бьют, избивают, забирают, уничтожают""","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," \n\nЖенщина, возмущенная творящимся беспределом, высказала свое мнение о текущей ситуации. Очевидец застала ее в тот момент, когда она убирала кровь, которая осталась на полу в подземном переходе после избиения мирного демонстранта.","","","","","","","","","","","","","",""
"","","","8124","message","2020-08-11T19:35:11","2020-08-12T03:24:58","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","30","1280","720","","","Как их земля носит?","","","","","","","","","","","","","",""
"","","","8125","message","2020-08-11T19:39:11","2020-08-11T19:45:10","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","350","226","","","Сегодняшний день показал, что завтра на работу идти опасно! \n\nПо дороге на работу/домой Вас могут избить дубинками, расстрелять резиновыми пулями и задержать. \n\nЕхать на работу так же опасно! Отморозки могут повредить Ваше транспортное средство, протаранить, извлечь Вас из машины, избить и задержать!\n\nТак же фашисты могут взять в заложники и похитить Ваших детей, угрожая подорвать осколочной гранатой себя и их, если кто-то осмелится помочь!\n\n","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Хотите это изменить? Присоединяйтесь к национальной забастовке! \n\nСолидарность - наша сила","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","!","","","","","","","","","","","","","",""
"","","","8126","message","2020-08-11T19:43:55","2020-08-11T19:50:56","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","9","360","640","","","🔥На Плеханова в Минске горит табакерка","","","","","","","","","","","","","",""
"","","","8127","message","2020-08-12T00:30:07","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","","","В последние дни мы видим как каратели хватают людей по темным переулкам вечером. Так не может дальше продолжаться! Вы можете утром собраться своими дворами и обсудить происходящее в стране. Пускай это будет ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","09:00 утра","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",". Вы можете собрать своих соседей позвонив им в домофон или в дверь. \n\nВо-первых, подавляющее большинство людей понятия не имеет о том что сейчас происходит в стране из-за отключения интернета. Расскажите своим соседям о происходящих зверствах в нашей стране. Покажите им видео из интернета. У граждан Республики Беларусь есть ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","право на информацию","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",", гарантированное Конституцией.\n\nВо-вторых, народу нужна консолидация. Тысячи людей ежедневно задерживают. Обсудите со своими соседями варианты как вы можете мирно добиться отмены карательных приговоров для людей, которые просто выражали свою гражданскую позицию. Напомните им о возможности общенациональной забастовки на государственных предприятиях.\n\nВ-третьих, вы можете пройти прогуляться по городу со своими соседями и посмотреть на ущерб, который наносят городу каратели. Дневные прогулки будут куда безопаснее ночных. В городе огромное множество людей. ОМОН не сможет так оперативно перемещаться по пустым улочкам на своей спецтехнике чтобы разгонять мирных демонстрантов. Более того, куда меньше вероятности, что каратели захотят применять силу средь бела дня. Пока нет интернета, они могут творить по ночам бесчинства и оставаться незамеченными. Днем же любое их правонарушение будет фиксироваться десятками очевидцев и придаваться огромной огласке.","","","","","","","","","","","","","",""
"","","","8128","message","2020-08-12T02:18:02","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","712","514","","","Около станции метро ""Пушкинская"" подонки уничтожили стихийный мемориал погибшему демонстранту\n\nОднако уже с самого утра люди продолжают вновь нести цветы","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8129","message","2020-08-12T02:44:27","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","462","514","bold","1.000.000$ на помощь арестованным, оштрафованным и раненым белорусам собран.","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\nНаша солидарность сильнее репрессий!\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","link","https://www.facebook.com/donate/1123543824684874/","","","","","","","","","","","","","","",""
"","","","8130","message","2020-08-12T02:52:33","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","956","1276","","","Только посмотрите какой арсенал спецсредств приходится задействовать говнокомандующему, чтобы подтвердить народную любовь к себе драгоценному в размере аж целых 80%!","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8131","message","2020-08-12T04:19:28","2020-08-12T04:22:03","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","7","856","480","","","250 девушек в белом вышли с цветами к Комаровскому рынку против насилия и в знак солидарности с пострадавшими и арестованными демонстрантами.","","","","","","","","","","","","","",""
"","","","8132","message","2020-08-12T04:35:31","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","","","В эти минуты милиция просит разойтись участниц акции солидарности у Комаровского рынка.","","","","","","","8131","","","","","","",""
"","","","8133","message","2020-08-12T04:39:36","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/quicktime","19","720","1280","","","А в эти минуты около тюрьмы на переулке Окркестино уже вовсю собираются родственники задержанных мирных демонстрантов. Люди требуют информацию о своих близких и списки задержанных.","","","","","","","","","","","","","",""
"","","","8134","message","2020-08-12T04:41:42","2020-08-12T05:09:40","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","60","384","352","","","Настоящий фашизм! Только посмотрите, как обращались с задержанными на акциях в Октябрьским РУВД. 😡😡😡","","","","","","","","","","","","","",""
"","","","8135","message","2020-08-12T04:50:02","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","39","856","480","","","Міліцыянты папрасілі удзельніц разысціся. Дзяўчаты паклалі кветкі ўздоўж дарогі і пачалі разыходзіцца, паклаўшы рукі за галаву, але ў выніку спыніліся і працягваюць стаяць уздоўж дарогі. Міліцыянтам крычаць: ""Спыніце гвалт! Вас робяць забойцамі! Міліцыя - забойцы!""","","","","","","","","Наша Нiва","","","","","",""
"","","","8136","message","2020-08-12T04:53:01","2020-08-12T04:56:10","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","960","1280","","","А вот так акция выглядит с высоты","","(File not included. Change data exporting settings to download.)","","","","","8131","","","","","","",""
"","","","8137","message","2020-08-12T05:13:37","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","30","540","360","","","Дичь в Жодино: мамкин каратель наставил на лежачих демонстрантов оружие, другие сволочи наделенные властными полномочиями явно испытывают удовольствие от избиения неповинных людей. \n\nСамое интересное, что если убрать у псов оружие и форму, то на поверку они все как один жалкие трусы и никчемные подлецы. Они боятся, потому и звереют, зная, что время их уже на исходе.","","","","","","","","","","","","","",""
"","","","8138","message","2020-08-12T05:17:48","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","720","480","","","Ментовское зверье озверело на столько, что не щадит уже никого, даже детей. Вчера в Гродно, из-за лукашенковских выродков в форме пострадал пятилетний ребенок. Гестаповцы разбили стекло в автомобиле, в котором перемещалась семья, в результате чего у малышки образовалась рваная рана в районе виска. Девочке наложили швы. \n\nИ как можно дальше терпеть эту трехпроцентную сволочь, которая натравливает своих опричников уже и на малолетних детей?!","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8139","message","2020-08-12T05:28:19","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","22","704","1280","","","Это настоящая, полномасштабная война!  Они вышли воевать против нас - граждан Беларуси, которые просто хотят правды!","","","","","","","","","","","","","",""
"","","","8140","message","2020-08-12T05:37:39","2020-08-12T06:03:07","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","7","1920","1080","","","⚡️⚡️В Лебедево (район Молодечно), только что начались спонтанные избиения людей ОМОНом. Люди просто несли коллективное обращение в сельсовет. Людей избили и задержали. Среди задержанных также находится депутат Гримаць.\n\nКогда зверье избивало людей, оно выкрикивало: ""Вы хотите продать страну!""","","","","","","","","","","","","","",""
"","","","8141","message","2020-08-12T05:41:33","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","13","704","1280","","","Прямо в эти минуты Минск выходит на стихийные акции протеста\n\nУ людей сдают нервы от беззакония и несправедливости, которые учинил таракан по всей стране!","","","","","","","","","","","","","",""
"","","","8142","message","2020-08-12T05:53:55","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1280","577","","","К тюрьме на Окрестина продолжают прибывать родственники задержанных демонстрантов. Требование одно: отпустить невинных людей! \n\nИ тут трехпроцентный обделался, потому решил посадить снайперов на крышу одного из зданий тюрьмы.","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8143","message","2020-08-12T05:53:55","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1280","577","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8144","message","2020-08-12T05:53:55","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","6","3840","2160","","","","","","","","","","","","","","","","",""
"","","","8145","message","2020-08-12T05:53:55","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","3","3840","2160","","","","","","","","","","","","","","","","",""
"","","","8146","message","2020-08-12T05:53:55","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","16","720","1280","","","","","","","","","","","","","","","","",""
"","","","8147","message","2020-08-12T05:57:42","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","249","302","","","⚡️⚡️В Бресте вчера был открыт огонь на поражение против демонстрантов. Один человек тяжело ранен. \n\nИсточник: ","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@euroradio","","","","","","","","","","","","","","",""
"","","","8148","message","2020-08-12T05:57:43","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","513","138","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8149","message","2020-08-12T06:24:38","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","","","⚡️⚡️","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Поступают сообщения о том, что работники Минскметропроекта вышли на протест","","","","","","","","","","","","","","",""
"","","","8150","message","2020-08-12T06:33:56","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","225","225","","","‼️В Беларуси вводятся новые правила дорожного движения. С 7:00-10:00 и 16:00-20:00 на главных проспектах и улицах ваших городов скорость движения не должна превышать 20 км/ч. С этого дня давайте не будем спешить в ту пропасть в которую нас тянет лживый диктатор со своими цепными псами.","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8151","message","2020-08-12T06:51:57","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1280","960","","","По всей Беларуси люди выстраиваются в живые цепи, чтобы выразить свою поддержку протестам. Проявляйте инициативу и становитесь лидерами в своих городах! От каждого зависит наше общее будущее!","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8152","message","2020-08-12T06:51:58","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","960","720","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8153","message","2020-08-12T06:52:25","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","720","1280","","","Ну что, каратель, поднимешь на них дубинку?","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8154","message","2020-08-12T06:55:49","2020-08-12T06:57:20","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","723","1280","","","Лида и Гродно тоже становятся в живые цепи! Наша сила - солидарность!","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8155","message","2020-08-12T06:55:49","2020-08-12T06:57:27","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1280","960","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8156","message","2020-08-12T06:55:49","2020-08-12T07:12:57","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","960","1280","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8157","message","2020-08-12T07:04:12","2020-08-12T07:05:22","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","736","483","","","⚡️❗️СРОЧНО! ЦУМ закрывают, ОМОН внутри здания распыляет газ! Людей выгоняют не дав забрать вещи из ячеек! \n\nТакже поступают сведения об эвакуации всех торговых центров Минска до 7 вечера.","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8158","message","2020-08-12T07:10:27","2020-08-12T07:10:49","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","960","1280","","","Вот так выглядит авто, которое вчера побили дубинками гестаповцы, где пострадала 5-летняя девочка. В конце всей вакханалии, машину еще и протаранил бтр.","","(File not included. Change data exporting settings to download.)","","","","","8138","","","","","","",""
"","","","8159","message","2020-08-12T07:10:28","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","960","1280","","","","","(File not included. Change data exporting settings to download.)","","","","","8138","","","","","","",""
"","","","8160","message","2020-08-12T07:10:28","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","960","1280","","","","","(File not included. Change data exporting settings to download.)","","","","","8138","","","","","","",""
"","","","8161","message","2020-08-12T07:10:28","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","960","1280","","","","","(File not included. Change data exporting settings to download.)","","","","","8138","","","","","","",""
"","","","8162","message","2020-08-12T07:17:19","2020-08-12T07:29:33","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","528","569","","","Тот самый ""организатор массовых беспорядков"" Сергей Симаков с 10000 тысячами долларов в рюкзаке, на поверку оказался весьма непростым человеком.\n\nСимаков, судя по его фото, служит в беларусском спецназе: например, он публиковал фото шеврона созданной в 2015 году ","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","роты обеспечения спецопераций","","https://ria.ru/20160318/1392427846.html","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," (базирующаяся под Минском в/ч 3214), ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","призванной бороться с диверсионно-разведывательными группами","","","","","","","","","","","","","","",""
"","","","8163","message","2020-08-12T07:17:20","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","960","960","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8164","message","2020-08-12T07:19:21","2020-08-12T07:20:05","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","14","360","640","","","Сейчас на Якуба Коласа. Живая цепь уже почти до самого метро! Как красиво! \n\nА тихари боятся настолько, что стоят на другой стороне улицы от Комаровки.","","","","","","","","","","","","","",""
"","","","8165","message","2020-08-12T07:27:35","2020-08-12T07:27:43","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","7","360","640","","","Живые цепи возникают стихийно по всему Минску. Еще фото с Якуба Коласа, где уже перекрыла дорогу ГАИ и на Тимирязева рядом с Палаццо.","","","","","","","","","","","","","",""
"","","","8166","message","2020-08-12T07:27:36","2020-08-12T07:28:51","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","956","1276","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8167","message","2020-08-12T07:27:36","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","960","1280","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8168","message","2020-08-12T07:27:36","2020-08-12T07:28:57","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","960","1280","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8169","message","2020-08-12T07:44:01","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1080","1080","","","Вау! Памятник Жанны Д’арк в Париже с настоящим беларусским флагом! 👍","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8170","message","2020-08-12T07:44:01","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1080","1080","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8171","message","2020-08-12T07:47:00","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","","","❗️","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Для тех, кто пострадал от преступных действий режима!\n\nИнформация от фонда @by_help. Как обратиться за помощью. \n\n1. Оплата штрафов","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",". \n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","italic","Шаг 1. Заполните форму для заявления о компенсации штрафа","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," - ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","bit.ly/byhelpme","","http://bit.ly/byhelpme","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",".\n\nНа сегодняшний день  мы оплачиваем те штрафы, заявления на которые были обработаны до 9.08.20. \n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","italic","Шаг 2. Ожидание подтверждения, что оплата произведена. \n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","Если Вы заполнили форму заявления и мы подтвердили, что она поставлена в очередь на оплату - вы получите от нас сообщение о том, что оплата была произведена. \n\nКак только восстановится работа мессенджеров, мы продолжим работу над обработкой всех оставшихся заявок. \nМы и сейчас обрабатываем то, что есть. Но без мессенджеров проверка информации идёт медленнее.\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","2. Помощь и оплата пострадавшим в протестах\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","Мы обработаем протокол в течение сегодняшнего дня и завтра сообщим какие шаги следует сделать, чтобы получить помощь! \n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","italic","Всю актуальную информацию мы опубликуем сразу же как она появится! Следите за обновлениями!","","","","","","","","","","","","","","",""
"","","","8173","message","2020-08-12T07:59:23","2020-08-12T08:00:20","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","15","360","640","","","Женщины Беларуси за перемены! Колонна протестующих женщин только что прошла по Богдановича и продолжает движение. Мужчины, где вы? Пора сказать свое слово!","","","","","","","","","","","","","",""
"","","","8174","message","2020-08-12T08:00:46","2020-08-12T08:19:12","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1280","960","","","В Гомеле женщины тоже выстраиваются в живую цепь👍","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8178","message","2020-08-12T08:26:51","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1280","960","","","Сегодня женщины по всей Беларуси выражают свое несогласия с применением необоснованной жестокости по отношению к мирным демонстрантам со стороны карателей, выражают солидарность с теми, кто сейчас находится в больницах и тюрьмах только за то, что высказал свою гражданскую позицию. \n\nГород Жодино тоже не стал исключением","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8179","message","2020-08-12T08:26:51","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1276","956","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8180","message","2020-08-12T08:26:51","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1280","960","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8181","message","2020-08-12T08:26:51","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","960","1280","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8182","message","2020-08-12T08:26:51","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1276","956","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8183","message","2020-08-12T08:26:51","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","4","640","360","","","","","","","","","","","","","","","","",""
"","","","8184","message","2020-08-12T08:28:45","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","26","360","640","","","В Гродно тоже очень крутая атмосфера!","","","","","","","","","","","","","",""
"","","","8185","message","2020-08-12T08:46:23","2020-08-12T08:49:33","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1280","960","","","Вот так каратели бесчинствуют на улицах Минска. Вчера на глазах нашей подписчицы, на улице Плеханова милиция остановила водителя(он не оказывал сопротивление), вытащила его из машины и увезла, а после этого группа зверей в черных балаклавах просто разбила всю машину, каждое окно, каждую фару, проколола ножом все шины. И оставили машину в таком состоянии на улице. В авто остался ноутбук, телефон документы, инструменты,  личные вещи.","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8186","message","2020-08-12T08:46:23","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1280","960","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8187","message","2020-08-12T08:46:24","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1280","960","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","8188","message","2020-08-12T09:00:05","2020-08-12T09:00:50","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","904","1280","","","Обновили листовку, с учетом новых предприятий, которые присоединились к национальной забастовке.\n\n❗️Распечатывайте, расклеивайте, распространяйте! Забастовка - самое мощное оружие в борьбе с диктатором","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","!","","","","","","","","","","","","","","",""
"","","","8189","message","2020-08-12T09:10:27","2020-08-12T09:10:43","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","13","360","640","","","На Притыцкого живая цепь уже несколько сотен метров! Наших женщин уже не остановить!","","","","","","","","","","","","","",""
"","","","8190","message","2020-08-12T09:14:19","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","42","360","640","","","А другая колонна прошла ТЦ ""Рига"" и продолжает движение. Многие женщины присоединяются.","","","","","","","","","","","","","",""
"","","","8191","message","2020-08-12T09:17:22","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","bold","И ещё очень важный пост.\n\n","","","","","","","","","PALCHYS","","","","","",""
"","","","","","","","","","","","","","","","","","","Сейчас каждый пишет в разнобой о том, что надо делать согласно его представлениям. Одни говорят - что надо продолжать протест несмотря ни на что. Другие - что надо отдохнуть и массово выходить на выходных.\n\nОдни говорят, что надо прекратить делать баррикады и драться с карателями. Вторые говорят, что надо уже хвататься за виллы и оружие.\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","РЕБЯТА, ЭТО ДЕЦЕНТРАЛИЗОВАННЫЙ ПРОТЕСТ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",". То есть вы лидеры только сами себе и вашим друзьям. Вчера по стране вышли тысячи и тысячи, которые ХОТЕЛИ баррикад и сражений. А также выехали на авто тысячи и тысячи, которые хотели кататься, гудеть и устраивать пробки в помощь.\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Не указывайте другим, что и как делать - делайте что вы сами можете на максимуме.","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," Все фронты нужны и важны.\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Протестуете на улицах","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","  - герои\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Хотите забастовку","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," - начинайте\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Хотите ездить на авто","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",", подвозить людей и сигналить - отлично\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Хотите расклеивать листовки","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," - замечательно\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Хотите помочь с работой честным учителям и силовикам","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," - великолепно\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Хотите пожертвовать денег","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," - шикарно\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Хотите помочь задержанным и раненным","","","","","","","","","","","","","","",""
