"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__text__type","messages__text__text","messages__text__href","messages__edited","messages__photo","messages__width","messages__height","messages__reply_to_message_id","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds"
"","","","","","","","","","text_link"," репортаже","https://youtu.be/qfyDz5MWhBM","","","","","","","","","",""
"","","","","","","","",". \nИ будьте внимательны, просмотр видео может содействовать «созданию психоэмоционального настроя» 😎\n\n💩 Наша ","","","","","","","","","","","","",""
"","","","","","","","","","text_link","инструкция","https://t.me/honestpeople_by/431","","","","","","","","","",""
"","","","","","","",""," о том, как выйти из «Белой Руси»\n🤝","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Площадка помощи","https://help.honest-people.by/","","","","","","","","","",""
"","","","","","","",""," тем, кто потерял работу из-за своей гражданской позиции\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","451","message","2020-08-18T12:36:51","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","452","message","2020-08-18T12:36:59","Честные люди","9900014418","Друзья!\nЧтобы воздействовать на власть, в том числе и в правовом поле, мы вместе собираем большую базу заявлений и доказательств. Завтра — последний день, когда вы можете прислать копии своих обращений с требованием о пересчёте голосов, которые будут приобщены к жалобе в Верховный суд кандидата С. Тихановской.\n\nЕсли вы считаете, что на вашем участке было занижено количество голосов в пользу Светланы Тихановской — напишите коллективное заявление в милицию от себя и других избирателей. Форму можно найти и распечатать по ссылке: ","","","","2020-08-18T12:40:16","","","","","","","","",""
"","","","","","","","","","link","https://bit.ly/31ArdPz","","","","","","","","","","",""
"","","","","","","",""," или написать от руки. В форме надо собрать подписи родных/соседей, которые относятся к этому же участку и голосовали за Тихановскую. \n\nСфотографируйте готовое обращение и вышлите фото нам на почту ","","","","","","","","","","","","",""
"","","","","","","","","","email","honestpeople202020@gmail.com","","","","","","","","","","",""
"","","","","","","","",". Обязательно сохраняйте у себя оригинал! Чтобы обращения не выглядели однообразными, мы добавим к ним истории о всевозможных нарушениях на ваших участках. Вагон и маленькая тележка электронных доказательств на флешках и дисках.\n\nЕсли вы уже расписывались в таком обращении, убедитесь, что его составитель точно отправил фотографию на нашу почту. Завтра последний день!\n\nДавайте вместе воздействовать на систему всеми законными методами, пока она не изменится.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","453","message","2020-08-19T08:34:12","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","454","message","2020-08-19T08:34:31","Честные люди","9900014418","❗️","","","","","","","","","","","","",""
"","","","","","","","","","bold","ОБЩЕНАЦИОНАЛЬНАЯ ЗАБАСТОВКА","","","","","","","","","","",""
"","","","","","","","","❗️\nБеларуси нужна солидарность!\n\nБольше недели назад прошли президентские выборы. Результат был грубо сфальсифицирован.\nС тех пор по всей стране проходят многотысячные митинги, а крупнейшие предприятия объявляют бессрочную забастовку.\n\n✊Инициатива «Честные люди» выражает солидарность со всеми бастующими Беларуси.\nМы понимаем, что самый действенный из мирных способов защитить свои права и заставить власть нас услышать — частичная или полная остановка предприятий и организаций.\n\nНо протестам важна структурность.\nБастующие должны действовать сообща и чувствовать поддержку всего народа.\n\n🔔","","","","","","","","","","","","",""
"","","","","","","","","","bold","Поэтому мы обращаемся к рабочим: МЫ ПОМОЖЕМ КАЖДОМУ ИЗ ВАС","","","","","","","","","","",""
"","","","","","","","","🔔\nВы сейчас на передовой. Все это видят и ценят. Именно от вашего упорства зависит будущее Беларуси. Экономика страны держится на заводах и предприятиях. Именно вы можете заставить власть начать диалог.\n\nЕсли вы хотите мирных перемен — бастуйте, устраивайте митинги, требуйте от руководства открыто поддержать наши общие требования:\n1️⃣ Признать выборы недействительными.\n2️⃣ Остановить насилие и освободить всех политзаключенных.\n3️⃣ Провести новые, честные выборы.\n\nВас готова поддержать вся страна. Уже собрано больше миллиона долларов для компенсаций тем, кто может пострадать финансово, рестораны  готовы вас бесплатно кормить, а частные компании-  брать на работу.\n\nМы ищем представителей всех трудовых коллективов Беларуси, чтобы дать вам консультацию и поддержку. Заполните безопасную ","","","","","","","","","","","","",""
"","","","","","","","","","text_link","форму от своего коллектива","https://bit.ly/3gjl7IZ","","","","","","","","","",""
"","","","","","","","",". Мы поможем следовать единому плану, окажем юридическую помощь, свяжем с инициативами, которые помогают деньгами.\n\n🔔","","","","","","","","","","","","",""
"","","","","","","","","","bold","Также мы обращаемся ко всем гражданам страны: ПОДДЕРЖИТЕ БАСТУЮЩИХ","","","","","","","","","","",""
"","","","","","","","","🔔\nПрямо сейчас они отстаивают наши общие интересы. Покажите, что они не одни. Что за ними стоит целый народ:\n✅ Участвуйте в сборах средств на помощь бастующим.\n✅ Собирайтесь на проходных, устраивайте митинги под окнами.\n✅ Поговорите с родными и знакомыми, которые работают на заводах и других предприятиях. Расскажите им, как много людей готовы оказать поддержку.\n\nПравительство не будет о нас заботиться. Мы должны позаботиться о себе сами.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#БастуйБеларусь","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","455","message","2020-08-19T13:22:27","Честные люди","9900014418","Волна милицейского насилия и садизма захлестнула Беларусь. Избиения мирных безоружных граждан, пытки на Окрестина и в РОВД, ощущение полной вседозволенности и безнаказанности со стороны тех, кто должен следить за соблюдением законов. \n\nОчень сложно говорить о происходящем. Но мы считаем, что говорить необходимо, иначе беспредел продолжится. Поэтому запускаем серию аудиороликов «Голоса задержанных», в которых расскажем реальные истории пострадавших и их родных. Все герои столкнулись с беспрецедентной жестокостью. Они напуганы и опустошены, поэтому их истории зачитают актеры белорусских театров. \n\nВ ","","","","2020-08-19T16:22:05","","","","","","","","",""
"","","","","","","","","","text_link","первом выпуске","https://youtu.be/3hqo3OdM_4E","","","","","","","","","",""
"","","","","","","",""," отец троих детей рассказывает о том, что произошло с его 16-летним сыном в Ленинском РОВД Бреста. \n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","456","message","2020-08-20T03:50:09","Честные люди","9900014418","Новый выпуск ","","","","","","","","","","","","",""
"","","","","","","","","","text_link","""Без шторки ТВ: бывший президент обиделся”","https://youtu.be/_mzYvNXtvEc","","","","","","","","","",""
"","","","","","","","",".\nИз него вы узнаете: \n- Почему так жестко подавлялись мирные акции.\n- Кто считает Лукашенко президентом? \n- Что нужно делать дальше, чтобы защитить наши права?\n\nПоддержка бастующих: ","","","","","","","","","","","","",""
"","","","","","","","","","link","https://bit.ly/3gjl7IZ","","","","","","","","","","",""
"","","","","","","",""," \n\nАнализ фальсификаций: \nГрафический анализ: ","","","","","","","","","","","","",""
"","","","","","","","","","link","https://tinyurl.com/y573b7kr","","","","","","","","","","",""
"","","","","","","","","\nИсходные данные по участкам: ","","","","","","","","","","","","",""
"","","","","","","","","","link","https://tinyurl.com/y4rykqs6","","","","","","","","","","",""
"","","","","","","","","\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#СчитайтеЧестно","","","","","","","","","","",""
"","","","457","message","2020-08-20T07:01:49","Честные люди","9900014418","«Скорая взаимопомощь» поддерживает людей, попавших в беду из-за своей гражданской позиции в период президентских выборов. \n\nВ нашей команде уже более 40 человек, но в последние дни поток заявок на помощь резко увеличился: сейчас нам приходит около сотни запросов в день. Поэтому вот прямо сегодня «Скорая взаимопомощь»  нуждается  в волонтерах для верификации заявок. \n\nКак помогают волонтеры? \n👉Общаются с людьми, оставившими заявки.\n👉 Запрашивают подтверждающие документы.\n👉 Координируют сбор средств. \n\n💌 Если у вас есть не меньше 2 часов в день на волонтерскую работу, компьютер и желание помочь — заполните ","","","","2020-08-20T07:02:30","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","","","","","","","text_link","эту форму\n","https://bit.ly/32bGZR8","","","","","","","","","",""
"","","","","","","",""," \nОгромное спасибо всем волонтерам. Без вас мы бы никогда не справились!\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#скорая_взаимопомощь","","","","","","","","","","",""
"","","","458","message","2020-08-20T13:49:50","Честные люди","9900014418","Никто не рассчитывал, что волонтеры Честных людей столкнутся с таким давлением.\nНо вместо того, чтобы отказаться от цели гражданского контроля за выборами, мы отказались от страха, отказались отступать. И сейчас у нас есть доказательства фальсификации выборов, которым нельзя не доверять.\n\nМы получили доказательства, что фальсификации были на всех уровнях — от участков в вашем дворе до ЦИК.\nИ это не случайность, а умышленные действия, согласованные с исполкомами и силовыми структурами. \nЭто больно осознавать, но это факт.\n\nВы можете почитать подробный отчет по ссылке ","","","","","(File not included. Change data exporting settings to download.)","1024","768","","","","","",""
"","","","","","","","","","link","https://bit.ly/2YjCtiJ","","","","","","","","","","",""
"","","","","","","","","\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","459","message","2020-08-20T13:49:50","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1024","768","","","","","",""
"","","","460","message","2020-08-20T13:49:50","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1024","768","","","","","",""
"","","","461","message","2020-08-21T07:37:57","Честные люди","9900014418","Беларуси нужна солидарность!\n\nСначала у нас украли выборы. Потом cиловые структуры жестоко избили мирных людей.\nА прямо сейчас трудящихся белорусских предприятий, который решили высказать свое недовольство с помощью забастовки, запугивают увольнениями и похищают. Мы пришли к проходным Минского тракторного завода и Минского завода колесных тягачей и ","","","","","","","","","","","","",""
"","","","","","","","","","text_link","спросили у самих работников","https://youtu.be/jyawKVe3GZw","","","","","","","","","",""
"","","","","","","","",", что они думают по поводу происходящего в стране. \n\nЧто делать, если вы работаете на заводе?\n\n👉 Мы просим представителей всех трудовых коллективов Беларуси связаться с нами, заполнив ","","","","","","","","","","","","",""
"","","","","","","","","","text_link","безопасную форму","https://bit.ly/3gjl7IZ","","","","","","","","","",""
"","","","","","","","",". Мы поможем следовать единому плану, окажем юридическую поддержку, свяжем с инициативами, которые помогают деньгами.\n\nЧто делать, если вы хотите помочь заводчанам? \n\n✅ Участвуйте в сборах средств для бастующих. \n✅ Собирайтесь на проходных, поддерживайте заводчан добрыми словами и улыбками. \n✅ Поговорите с родными и знакомыми, которые работают на предприятиях. Расскажите им, как много людей готовы оказать поддержку.\n\nПравительство не будет о нас заботиться. Мы должны позаботиться о себе сами.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#БастуйБеларусь","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","462","message","2020-08-21T08:32:55","Честные люди","9900014418","","bold","Не сомневайтесь","","","(File not included. Change data exporting settings to download.)","1280","1169","","","","","",""
"","","","","","","",""," –","","","","","","","","","","","","",""
"","","","","","","","","","bold"," правда и любовь победят! \n\n","","","","","","","","","","",""
"","","","","","","","","Поддержите акцию и приходите завтра, 22 августа, в 14:00 на Комаровский рынок, если вы в Минске, или на центральные улицы других городов. \n“Женщины в белом” продолжают побеждать насилие любовью – приходите в белом и берите цветы, чтобы высказать ваш протест против милицейского произвола и насилия.\n\nНаши общие требования:\n— остановить произвол власти и освободить всех политзаключенных\n— расследовать исчезновения, убийства, пытки людей в тюрьмах и автозаках\n— наказать все виновных, уволить руководство причастных спецслужб и министерств.\n\nМы от всей души поддерживаем и гордимся теми, кто организовывает такие акции и участвует в них.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#спыніцегвалт","","","","","","","","","","",""
"","","","463","message","2020-08-21T11:22:22","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1280","1280","","","","","",""
"","","","464","message","2020-08-21T11:22:27","Честные люди","9900014418","ЗАКОННЫ ЛИ ЗАБАСТОВКИ В БЕЛАРУСИ?\nЭто один из основных вопросов, которые мы получаем.\n⠀\n❗️Статья 41 Конституции Республики Беларусь дает гражданам право на забастовку. Но на практике белорусы практически лишены этого права. Для этого законодательством созданы почти непреодолимые барьеры.\n⠀\nКомментарии юриста:\n«Забастовка законна, если оформлена по требованиям Трудового кодекса и если в организации задействован профсоюз. В забастовке важно наличие трудового спора (разногласия по вопросам экономического, производственного, трудового, социального характера). До начала забастовки должны идти примирительные процедуры. Сама забастовка — это крайний способ разрешить спор. И даже правильно оформленную забастовку может отменить президент, а суд может признать ее незаконной».\n⠀\nНо с другой стороны, в условиях тотального правового беспредела забастовка является одним из немногих способов мирно донести позицию граждан Беларуси по происходящему в стране, озвучив те самые непреодолимые разногласия социального характера. Помимо требований наказывать, а не награждать медалями людей, калечащих мирных граждан, стоит предъявлять и «локальные требования», выполнение которых в компетенции нанимателя.\n⠀\nНапример:\n👉      В вашей организации работники, вступившие в государственный профсоюз, БРСМ, «Белую Русь», имеют преимущества по отношению к тем, кто предпочел во все это не вступать.\n👉      Отмена контрактной формы найма — ваш коллектив надеялся на его отмену в связи со сменой президента и теперь намерен использовать другой предусмотренный законом метод.\n👉      Требование работников восстановить их права, предусмотренные в нормативных правовых актах, либо устранить препятствия в реализации этих прав.\n⠀\nСтоит признать, что вопрос забастовок в Беларуси сейчас находится вне правового поля, но по сути является гражданским долгом каждого, кто понимает, что не может мириться с происходящим в стране.\n⠀\nВажное значение имеет позиция дирекции, которая боится вышестоящего начальства куда больше, чем своих сотрудников. Но ещё важнее — солидарность работников на отдельных предприятиях и всех вместе. Когда формальные институты права не работают, у народа остаются только неформальные способы, чтобы отстоять свои права.\n⠀\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#БастуйБеларусь","","","","","","","","","","",""
"","","","465","message","2020-08-21T13:02:58","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","466","message","2020-08-21T13:02:58","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1280","1280","","","","","",""
"","","","467","message","2020-08-21T13:02:59","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1280","1280","","","","","",""
"","","","468","message","2020-08-21T13:03:04","Честные люди","9900014418","⚙️","","","","","","","","","","","","",""
"","","","","","","","","","bold","На этой неделе сотрудники крупнейших предприятий Беларуси начали объявлять бессрочные забастовки","","","","","","","","","","",""
"","","","","","","","","⚙️\nСреди требований — прекратить насилие со стороны силовиков, привлечь к ответственности виновных, признать выборы недействительными и назначить новые.\n\nВ ответ людям стали поступать угрозы от руководства и силовых органов. Людей запугивают увольнениями, лишением премий, вызывают на разговор в милицию, а акции разгоняет ОМОН. Мы понимаем, в каких сложнейших условиях оказались рабочие на предприятиях. И выражаем восхищение всеми, кто находит силы и продолжает бороться за будущее Беларуси.\n\n❗️","","","","","","","","","","","","",""
"","","","","","","","","","bold","Поддержите бастующих рабочих","","","","","","","","","","",""
"","","","","","","","","❗️\nПротиводействуя всей вертикали власти, легко почувствовать себя бессильным. Покажите рабочим, что за ними стоит вся страна. Покажите не словом, а делом. Они не видят наши репосты и лайки. Поэтому гражданский долг каждого белоруса — оказать прямую поддержку бастующим.\n\n✅ Мы подготовили листовку с основными советами, юридической памяткой и контактами для связи. Раздайте её рабочим, разбросайте в жилых районах рядом с заводами, распространите в общежитиях предприятий. Листовка: ","","","","","","","","","","","","",""
"","","","","","","","","","link","https://bit.ly/2YnVZKH","","","","","","","","","","",""
"","","","","","","","","\n✅ Собирайтесь на проходных, устраивайте митинги под окнами. Сложно бастовать, когда вокруг больше милиции, чем людей с плакатами. Дайте людям почувствовать, что они не одни. Встречайте идущих на работу людей, разговаривайте с ними, выражайте участие.\n✅ Освещайте истории давления и угроз. Это не должно оставаться внутри коллектива, а виновные должны нести ответственность. Мы собираем эти истории, передаём юристам и будем освещать в СМИ. Если вы столкнулись с давлением — свяжитесь с нами по указанным в листовке контактам, и мы вам поможем.\n✅ Помогайте деньгами тем, кого уволили или лишили премии. Для этого работает наш проект ","","","","","","","","","","","","",""
"","","","","","","","","","text_link","«Скорая взаимопомощь»","https://help.honest-people.by/","","","","","","","","","",""
"","","","","","","","",". Там мы собираем конкретных людей, которые уже пострадали, и оказываем им адресную помощь.\n\nПоддерживайте бастующих всеми доступными способами. Ведь мы один народ!\n\n","","","","","","","","","","","","",""
"","","","","","","","","","text_link","#БастуйБеларусь","https://www.instagram.com/explore/tags/%D0%B1%D0%B0%D1%81%D1%82%D1%83%D0%B9%D0%B1%D0%B5%D0%BB%D0%B0%D1%80%D1%83%D1%81%D1%8C/","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#солидарность","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","text_link","#мычестныелюди","https://www.instagram.com/explore/tags/%D0%BC%D1%8B%D1%87%D0%B5%D1%81%D1%82%D0%BD%D1%8B%D0%B5%D0%BB%D1%8E%D0%B4%D0%B8/","","","","","","","","","",""
"","","","469","message","2020-08-21T15:25:56","Честные люди","9900014418","Что будет, если 14 часов простоять на коленях? Провести без воды? Провести в одной позе с перерывами на побои? \nГерой ","","","","","","","","","","","","",""
"","","","","","","","","","text_link","второго выпуска","https://youtu.be/eZI4mmp-fXU","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#ГолосаЗадержанных","","","","","","","","","","",""
"","","","","","","",""," теперь знает, каково это. \nСлушайте его рассказ \n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","470","message","2020-08-22T04:00:57","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","471","message","2020-08-22T04:01:00","Честные люди","9900014418","Как выразить протест, кроме забастовок и митингов?\nСолидарное потребление! \n\nДа, это тоже будет непросто, но оно того стоит – откажитесь от покупок продуктов и услуг, чтобы сократить поток в государственный бюджет. Хотя бывший президент рассказывает из телевизора, что он тут построил больницу, а здесь покрасил качели – за всё это платим мы. В том числе и его зарплату.\n\n✅  Покупайте только самое необходимое – в цене каждого товара прячется 20% налога на добавленную стоимость(НДС). 1/5 от вашего чека забирает государство. Меньше мы покупаем — меньше они получают.\n\n✅ Здоровый образ жизни. Откажитесь от алкоголя и сигарет – в их цене, кроме НДС, есть еще и акцизы. Такая же история со скрытыми налогами в автомобильном топливе – ходите, по возможности, пешком или катайтесь на велосипеде. \n\n✅ Если вы обналичите ваши карточки и банковские вклады, государство не сможет одалживать ваши деньги для финансирования необоснованных проектов.\n\nЕсли вам кажется, что это несерьёзно – НДС и акцизы формируют около 40% бюджета — почти половину!\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#БастуйБеларусь","","","","","","","","","","",""
"","","","472","message","2020-08-22T09:02:14","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1280","1280","","","","","",""
"","","","473","message","2020-08-22T09:02:14","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1280","1280","","","","","",""
"","","","474","message","2020-08-22T09:02:18","Честные люди","9900014418","Если вы вышли на акцию протеста или участвовали в незаконной забастовке и отсутствовали на рабочем месте ","","","","","","","","","","","","",""
"","","","","","","","","","bold","менее 3 часов","","","","","","","","","","",""
"","","","","","","","",", уволить за прогул вас нельзя. \n\nНапример, вы вышли с 9.00 до 10.00 и затем с 14.00 до 15.30. В совокупности менее 3-x часов. У вас потребуют письменное объяснение причины отсутствия на работе. Напишите объяснительную, подойдите к этому делу творчески 😉\nПомните, что ваш приход и уход с территории вашей организации должен быть зафиксирован в пропускной системе или журнале прихода на работу.  \n\nК работникам, которые принимают участие в городских митингах или незаконных забастовках в рабочее время, могут быть применены меры дисциплинарного взыскания:\n✔️ замечание, выговор;\n✔️ лишение премии;\n✔️ увольнение.\nНо стоит заметить, что у вашего нанимателя нет права признавать забастовку законной или незаконной. Это может сделать только суд!\n\nЕсли к вам ранее уже применяли дисциплинарное взыскание (должен быть приказ с вашей подписью. См. часть 7 ст.199 ТК), то уволить вас могут за повторное нарушение по пункту 6 части 1 статьи 42 ТК – неисполнения без уважительных причин трудовых обязанностей работником, имеющим неснятое (непогашенное) дисциплинарное взыскание. То есть, если взыскание было погашено (мера была применена) увольнять вас нельзя.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#БастуйБеларусь","","","","","","","","","","",""
"","","","475","message","2020-08-22T11:00:12","Честные люди","9900014418","Это было очень страшно...\n\nРассказ девушки, которую вместе с друзьями схватил ОМОН. ","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Третья история ","https://youtu.be/fDdhv7X8ljA","","","","","","","","","",""
"","","","","","","","","из цикла ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#ГолосаЗадержанных","","","","","","","","","","",""
"","","","","","","",""," \n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","476","message","2020-08-22T14:30:20","Честные люди","9900014418","Спасибо за ваше доверие!\nЗа последние два дня к нам обратился за помощью 141 человек.\n\nМы очень тщательно обрабатываем заявки, чтобы иметь уверенность, что никто не пользуется в корыстных целях вашей поддержкой. Но уже сейчас на ","","","","2020-08-22T14:40:02","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","","","","","","","text_link","странице платформы","https://help.honest-people.by/","","","","","","","","","",""
"","","","","","","",""," больше двадцати человек, которые ждут помощи. Мы очень советуем почитать их истории. Возможно, это именно то, что придаст вам сил, чтобы идти дальше, гордиться своим народом и побеждать. \n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#скорая_взаимопомощь","","","","","","","","","","",""
"","","","477","message","2020-08-22T14:55:29","Честные люди","9900014418","""Все так плохо, что вышли даже интроверты"", ""Цой жив, ЦИК лжив"", ""Заводите страну!"". В Беларуси в последние две недели наблюдается расцвет плакатного творчества. \n\n🤝 23 августа в Минске и других городах пройдут мирные митинги ПРОТИВ насилия и ЗА новые честные выборы. Просим вас поделиться своими идеями о том, что честным людям написать на плакатах. Давайте поможем друг другу и покажем всему миру, как много у нас идей. \n\nА также напоминаем наши требования:\n1️⃣ Признать выборы недействительными;\n2️⃣ Прекратить насилие со стороны силовых структур;\n3️⃣ Освободить всех политических заключенных;\n4️⃣ Призвать к ответственности виновных;\n5️⃣ Провести новые, честные выборы.\n\nПродолжаем путь к свободе!\n\n","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#БастуйБеларусь","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мирныйПротест","","","","","","","","","","",""
"","","","478","message","2020-08-22T14:55:29","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","479","message","2020-08-22T14:55:29","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","480","message","2020-08-22T14:55:29","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","481","message","2020-08-22T14:55:29","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","482","message","2020-08-22T14:55:29","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","483","message","2020-08-22T14:55:29","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","484","message","2020-08-22T14:55:29","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","485","message","2020-08-22T14:55:29","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","486","message","2020-08-22T14:55:29","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","487","message","2020-08-23T03:37:27","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","488","message","2020-08-23T03:37:30","Честные люди","9900014418","","text_link","«Скорая взаимопомощь»","https://help.honest-people.by/","2020-08-23T04:04:23","","","","","","","","",""
"","","","","","","",""," — это площадка взаимопомощи для всех белорусов. \n","","","","","","","","","","","","",""
"","","","","","","","","","text_link","❤️","https://help.honest-people.by/","","","","","","","","","",""
"","","","","","","","","Мы связываем между собой тех, кому нужна помощь, и тех, кто готов её предложить. Недавно мы собирали деньги учителям, которых увольняли за отказ фальсифицировать выборы, сейчас у нас начинают появляться истории рабочих, которые пострадали из-за участия в забастовках. \n\n❗️Сейчас на сайте идёт сбор денег Вячеславу, которого уволили несколько дней назад.\n\n— Голосовал первый раз в жизни. Проголосовал за Тихановскую, как все, и когда узнал, что Лукашенко написали 80%, возмутился. Все, кого знаю, голосовали за нее. В понедельник ребята сказали про забастовку, и я присоединился. Мы были за отставку Лукашенко и за новые честные выборы.\n\nНа Вячеслава стало давить руководство. Сначала его лишили премии, а потом объявили «систематическим нарушителем» и уволили. По словам Вячеслава, до этого он не получал замечаний. Молодой рабочий сказал, что не жалеет о своем поступке, но волнуется за то, что ему придётся оплатить неотработанное распределение.\n\n🔥Мы просим помочь парню с трудоустройством, обучением или переквалификацией. А также собрать необходимую финансовую помощь: ","","","","","","","","","","","","",""
