"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__text__type","messages__text__text","messages__edited","messages__text__href","messages__forwarded_from","messages__photo","messages__width","messages__height","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__reply_to_message_id","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds"
"","","","","","","","","","italic","Мы будзем працягваць весці табліцы па затрыманых:\n","","","","","","","","","","","","","","","",""
"","","","","","","","","👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Спіс затрыманых у Мінску:","","","","","","","","","","","","","","","",""
"","","","","","","",""," можна паглядзець ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","на сайце","","https://spring96.org/be/news/98891","","","","","","","","","","","","","",""
"","","","","","","",""," і ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","ў табліцы","","https://cutt.ly/Ud21CaW","","","","","","","","","","","","","",""
"","","","","","","","",".\n👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Спіс затрыманых у іншых гарадах краіны:","","","","","","","","","","","","","","","",""
"","","","","","","",""," можна паглядзець ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","на сайце","","https://spring96.org/be/news/98892","","","","","","","","","","","","","",""
"","","","","","","",""," і ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","ў табліцы","","https://docs.google.com/spreadsheets/d/10uXOUL_4OCPocSLk7yVi6aXawqSI1xWTUWHTfCDH8LY/edit?usp=sharing","","","","","","","","","","","","","",""
"","","","","","","","",".\n\nКалі вас ці вашых блізкіх затрымалі, паведамляйце нам праз тэлеграм-бот ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@viasna_bot","","","","","","","","","","","","","","","",""
"","","","","","","",""," ці на ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","гарачую лінію","","","","","","","","","","","","","","","",""
"","","","","","","","",":\n\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@ViasnaSOS","","","","","","","","","","","","","","","",""
"","","","","","","",""," - тэлеграм. Можна тэлефаванаваць.\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","+","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","(017) 394 63 11\n\nБеражыце сябе!","","","","","","","","","","","","","","","",""
"","","","1985","message","2020-08-10T12:28:52","Вясна / Правы чалавека ў Беларусі","9636739710","Был задержан один из координаторов инициативы BYCOVID19 - Андрей Ткачёв","","","","","#МотолькоПомоги этому городишко от 3% избавиться","","","","","","","","","","","","",""
"","","","","","","","","","text_link",".","","https://scontent-waw1-1.xx.fbcdn.net/v/t1.0-9/p720x720/117321488_3231844803560039_2492885845903226411_o.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=cTiUeOpKWJIAX8bq3fy&_nc_ht=scontent-waw1-1.xx&_nc_tp=6&oh=e0421428c2f095be94b9137ba95f2dad&oe=5F58DA3D","","","","","","","","","","","","","",""
"","","","","","","",""," Примерно 10 минут назад возле ул.Освобождения 13 (дворы за Галереей)","","","","","","","","","","","","","","","","","",""
"","","","1986","message","2020-08-10T12:29:56","Вясна / Правы чалавека ў Беларусі","9636739710","У Мінску каля цырку быў затрыманы музыка ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Філіп Чмыр","","","","","","","","","","","","","","","",""
"","","","","","","",""," за тое, што сфатаграфаваў амапаўцаў.","","","","","","","","","","","","","","","","","",""
"","","","1987","message","2020-08-10T12:34:35","Вясна / Правы чалавека ў Беларусі","9636739710","Шматлікія затрыманні адбываюцца ў раёне Палаца спорту, гасцініцы Юбілейная на праспекце Пераможцаў у Мінску. Амапаўцы выхопліваюць маладых мужчын, жанчын не чапаюць. Пенсіянеркі крычаць у адрас сілавікоў ""Бандыты!"" і ""Ганьба!""","","","","","Наша Нiва","","","","","","","","","","","","",""
"","","","1988","message","2020-08-10T13:00:07","Вясна / Правы чалавека ў Беларусі","9636739710","Даволі хукта журналіста адпусцілі. Затрымалі каля стэлы, адтуль прывезлі на Бангалор і выпусцілі.","","","","","","","","","","","","","1983","","","","",""
"","","","1989","message","2020-08-10T13:06:29","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","❗️Затрыманні ","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","праваабаронцаў","","https://spring96.org/be/news/98946","","","","","","","","","","","","","",""
"","","","","","","","","","bold"," ""Вясны""\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","У Брэсце затрыманы праваабаронца  ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Уладзімір Вялічкін","","","","","","","","","","","","","","","",""
"","","","","","","",""," прама ў будынку суда, дзе ён маніторыў працэсы над учорашнімі затрыманымі.\n\nУ Маладзечне затрымалі праваабаронцу ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Алеся Капуцкага","","","","","","","","","","","","","","","",""
"","","","","","","","",", які прыйшоў на акцыю ў якасці назіральніка ад БХК.","","","","","","","","","","","","","","","","","",""
"","","","1990","message","2020-08-10T13:07:58","Вясна / Правы чалавека ў Беларусі","9636739710","Затрыманны ў Гродне","","","","","","","","","","","","","","","","","",""
"","","","1991","message","2020-08-10T13:07:58","Вясна / Правы чалавека ў Беларусі","9636739710","В ","","","","","Выборы видишь? | TUT.BY Политика","","","","","","","","","","","","",""
"","","","","","","","","","bold","Гродно","","","","","","","","","","","","","","","",""
"","","","","","","",""," Советскую площадь зачистили за секунды: вдруг появилась колонна ОМОНа — человек 50 — и стеной пошли на людей. Собравшихся на площади было около 20 человек. Забрали людей и с крыльца Фарного костела. Всех потащили в автозаки.","","","","","","","","","","","","","","","","","",""
"","","","1992","message","2020-08-10T13:20:12","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Мінск. ","","","Euroradio","","","","","","","","","","","","",""
"","","","","","","","","Калі вам ці вашым сябрам, якія ўдзельнічаюць у пратэстных акцыях, патрэбная дапамога медыкаў, вы можаце затэлефанаваць ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","phone","+375 29 3915190","","","","","","","","","","","","","","","",""
"","","","","","","","",". Валанцёры паспрабуюць хутка дабрацца да вас і дапамагчы.","","","","","","","","","","","","","","","","","",""
"","","","1993","message","2020-08-10T13:28:25","Вясна / Правы чалавека ў Беларусі","9636739710","up. Затрыманы толькі Мірон Вітушка, астатнія змаглі збегчы.\n\nНа вул. Чарвякова каля Палацу дзяцей і моладзі затрымалі трох непаўнагадовы хлопцаў  (па 16 год) ","","","2020-08-10T13:32:29","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Мірона Вітушку,  Франака Цюленева і Усяслава Сагановіча","","","","","","","","","","","","","","","",""
"","","","","","","","",". З імі  былі таксама паўнагадовы","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold"," Алесь","","","","","","","","","","","","","","","",""
"","","","","","","",""," (прозвішча невядома) і маці Мірона Вітушкі. Яны рухаліся па дарозе ў бок цэнтру.\n\nРаптам спынілася машына, адтуль выбеглі сілавікі, ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","адштурхнулі маці","","","","","","","","","","","","","","","",""
"","","","","","","",""," Вітушкі і ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","забралі хлопцаў","","","","","","","","","","","","","","","",""
"","","","","","","","",".","","","","","","","","","","","","","","","","","",""
"","","","1994","message","2020-08-10T13:42:08","Вясна / Правы чалавека ў Беларусі","9636739710","Затрыманні ў Брэсце","","","","","","","","","","","","","","","","","",""
"","","","1995","message","2020-08-10T13:42:08","Вясна / Правы чалавека ў Беларусі","9636739710","В ","","","","","Выборы видишь? | TUT.BY Политика","","","","","","","","","","","","",""
"","","","","","","","","","bold","Бресте","","","","","","","","","","","","","","","",""
"","","","","","","",""," на Советской продолжаются массовые задержания. Взяли велосипедиста, а также схватили парня, у которого в руках была майка с бело-красно-белым флагом.\n\nЛюди кричат «Позор!», их — в том числе, девушек — бьют дубинками. Все очень брутально.","","","","","","","","","","","","","","","","","",""
"","","","1996","message","2020-08-10T13:47:14","Вясна / Правы чалавека ў Беларусі","9636739710","!!!!!","","","","","","","","","","","","","","","","","",""
"","","","1997","message","2020-08-10T13:47:14","Вясна / Правы чалавека ў Беларусі","9636739710","Наша Нiва пишет, что на Кальварийской открыли огонь, ранена в ногу журналистка Наталья Лубневская.","","","","","Выборы видишь? | TUT.BY Политика","","","","","","","","","","","","",""
"","","","1998","message","2020-08-10T14:47:28","Вясна / Правы чалавека ў Беларусі","9636739710","В ","","","","","Выборы видишь? | TUT.BY Политика","","","","","","","","","","","","",""
"","","","","","","","","","bold","Бресте","","","","","","","","","","","","","","","",""
"","","","","","","",""," демонстранты говорят о травмах от светошумовых гранат. Осколок попал и в корреспондента ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","","","",""
"","","","","","","","",".","","","","","","","","","","","","","","","","","",""
"","","","1999","message","2020-08-10T16:29:31","Вясна / Правы чалавека ў Беларусі","9636739710","""Белсат"" піша пра затрыманні іх журналістак ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Алены Шчарбінскай і Таццяны Белашовай","","","","","","","","","","","","","","","",""
"","","","","","","","",". Таксама паведамляецца, што фотакарэспандэнтку тэлеканала ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Таццяну Капітонаву ","","","","","","","","","","","","","","","",""
"","","","","","","","","кантузіла падчас атакі сілавікоў.\n\nУ Бабруйску затрымалі журналіста","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold"," Алеся Чыгіра","","","","","","","","","","","","","","","",""
"","","","","","","",""," і яго жонку","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold"," Дануту Чыгір","","","","","","","","","","","","","","","",""
"","","","","","","","",".","","","","","","","","","","","","","","","","","",""
"","","","2000","message","2020-08-10T16:45:05","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","МВД сообщило о погибшем во время протестов\n\n","","","TUT.BY новости","","","","","","","","","","","","",""
"","","","","","","","","""В ходе массовых беспорядков в Минске на проспекте Притыцкого, толпа строила баррикады для блокирования движения. В ходе противостояния со спецназом, прибывшим для деблокирования площади, один из протестующих пытался бросить неустановленное взрывное устройство в строну правоохранителей. Оно взорвалось в руке, мужчина получил травмы несовместимые с жизнью"".","","","","","","","","","","","","","","","","","",""
"","","","2001","message","2020-08-10T18:55:46","Вясна / Правы чалавека ў Беларусі","9636739710","❗️Па стане на 02.00 11 жніўня ""Вясне"" вядома больш за ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","600 прозвішчаў ","","","","","","","","","","","","","","","",""
"","","","","","","","","затрыманых у Мінску ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","9 і 10 жніўня ","","","","","","","","","","","","","","","",""
"","","","","","","","","і больш за","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold"," 400 прозвішчаў ","","","","","","","","","","","","","","","",""
"","","","","","","","","затрыманых у рэгіёнах. \n\nКалі вам вядома пра новыя затрыманні - пішыце нам!\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Спісы затрыманых і кантакты","","","","","","","","","","","","","","","",""
"","","","","","","","","👉👉👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://t.me/viasna96/1984","","","","","","","","","","","","","","","",""
"","","","2002","service","2020-08-10T18:56:31","","","","","","","","","","","","Вясна / Правы чалавека ў Беларусі","9636739710","pin_message","1984","","","","","",""
"","","","2003","message","2020-08-10T19:06:53","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Ад галоўнага рэдактара Нашай Нівы Ягора Марціновіча прыйшла эсэмэска СОС.","","","Наша Нiва","","","","","","","","","","","","",""
"","","","","","","",""," Гэта значыць, што ён затрыманы. Мы ведаем, што ён вяртаўся дахаты на сваёй машыне пасля асвятлення падзей на вуліцах.","","","","","","","","","","","","","","","","","",""
"","","","2004","message","2020-08-10T19:27:27","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","На Кальварийской у Короны стреляли именно в журналистов. Одна пуля попала в Наталью Лубневскую из «Нашей Нивы», другая зацепила журналистку Тутбай, срезала её бейдж. \n\nЖурналисты стояли группой, были одеты в жилетки для прессы и имели бейджи.","","","БАЖ / BAJ","","","","","","","","","","","","",""
"","","","2005","message","2020-08-11T03:58:12","Вясна / Правы чалавека ў Беларусі","9636739710","В Минске пропал фотокорреспондент «России сегодня» Илья Питалев. В последний раз он выходил на связь в 17:40 10 августа.\n\n","","","","","Медуза — LIVE","","","","","","","","","","","","",""
"","","","","","","","","","link","https://tass.ru/obschestvo/9170397","","","","","","","","","","","","","","","",""
"","","","2006","message","2020-08-11T05:22:11","Вясна / Правы чалавека ў Беларусі","9636739710","","text_link","​","","https://telegra.ph/file/9319c5f3b666c64f89e4f.jpg","By_Help","","","","","","","","","","","","",""
"","","","","","","","","SUPPORT BELARUSIAN PRO-DEMOCRACY ACTIVISTS AND THEIR FAMILIES \n\nOn the night of August 9 and 10 riot police used water cannons, stun grenades to disperse peaceful protesters all over Belarus. People’s only ‘fault’ was demand for fair vote count at the presidential election. \n\nHundreds of Belarusians were injured and thousands were arrested in the act of unprecedented police brutality. In Minsk, a prisoner transport vehicle ran rammed a crowd of people, injuring at least two people and possibly killing another. \n\nThis was a culmination of the months-long wave of detentions peaceful protesters and supporters of alternative candidates-to-be in the upcoming presidential election. Journalists, bloggers and politicians are thrown into jail under trumped up charges. Repressions are reaching regular people who are brave enough to wear a t-shirt with a protest slogan or stand in a line to buy one. \n\nWe ask you to support victims of repressions and their families by sending a donation to ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@By_help","","","","","","","","","","","","","","","",""
"","","","","","","",""," – a civic campaign that collects funds to help detainees and their families with their basic needs: payment of fines, access to lawyers or compensation for the loss of the only source of income, as well as much needed medical support to the injured. Since 2017, the campaign has gathered dozens of thousand US dollars, all of which have been given away to those in need.\n\nYou can support the fundraising by donating here: \n\nFacebook ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","www.belarus97.pro","","","","","","","","","","","","","","","",""
"","","","","","","","","\nor ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://www.facebook.com/donate/1123543824684874/1179674872398974/","","","","","","","","","","","","","","","",""
"","","","","","","","","\n\nPayPal ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","bit.ly/byhelppaypal","","","","","","","","","","","","","","","",""
"","","","","","","","","\nor \ndirectly to ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","email","alaksiej.lavoncyk@gmail.com","","","","","","","","","","","","","","","",""
"","","","","","","","","\n\nIf you know someone in need of help, send them the link to the support claim form: ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","bit.ly/byhelpme","","","","","","","","","","","","","","","",""
"","","","","","","","","\n\nSubscribe to ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#BY_help","","","","","","","","","","","","","","","",""
"","","","","","","",""," accounts on Facebook (","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://www.facebook.com/BYhelpBY/","","","","","","","","","","","","","","","",""
"","","","","","","","",") , Telegram (","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://t.me/BY_help","","","","","","","","","","","","","","","",""
"","","","","","","","",") and Instagram (","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://www.instagram.com/byhelpby/","","","","","","","","","","","","","","","",""
"","","","","","","","",") for the latest updates. \n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#ByHelp2020","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#ямы97","","","","","","","","","","","","","","","",""
"","","","2007","message","2020-08-11T05:57:00","Вясна / Правы чалавека ў Беларусі","9636739710","Бацькі затрыманага ўчора непоўнагадовага ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Мірона  Крысціна і Андрэй Вітушкі","","","","","","","","","","","","","","","",""
"","","","","","","",""," прыехалі да Цэнтральнага РУУС і там іх таксама затрымалі. \n\nПазней непаўнагадовага Мірона перадалі бабулі, а бацькі засталіся ў РУУС. Дагэтуль дакладнае іх месцазнаходжанне невядома. \n\n👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://t.me/viasna96/1993","","","","","","","","","","","","","","","",""
"","","","2008","message","2020-08-11T05:57:38","Вясна / Правы чалавека ў Беларусі","9636739710","","link","https://spring96.org/be/news/98959","","","","","","","","","","","","","","","",""
"","","","2010","message","2020-08-11T07:23:26","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","БРЭСТ! ","","","","","","","","","","","","","","","",""
"","","","","","","","","Каб атрымаць кансультацыю ў выпадку затрыманняў, тэлефануйце на наступныя нумары:\n\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Уладзімір Малей:","","","","","","","","","","","","","","","",""
"","","","","","","",""," (029) 522 06 07\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Ганна:","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","phone","+375333046078","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@NuraBy","","","","","","","","","","","","","","","",""
"","","","","","","",""," \n\nНа жаль, нашага праваабаронцу ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Уладзіміра Вялічкіна","","","","","","","","","","","","","","","",""
"","","","","","","",""," ўчора таксама затрымалі, таму ён не можа кансультаваць.","","","","","","","","","","","","","","","","","",""
"","","","2011","message","2020-08-11T07:48:54","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","І зноў ","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","затрыманне праваабаронцы","","https://spring96.org/be/news/98968","","","","","","","","","","","","","",""
"","","","","","","","","","bold"," ""Вясны"". Учора ў Барысаве быў затрыманы Алег Мацкевіч.","","","","","","","","","","","","","","","",""
"","","","","","","",""," \n\nЯго затрымалі, калі ён хадзіў у выбарчую камісію атрымаць зварот па скарзе, якую раней падаваў.\n\nГэта ўжо чацвёрты рэгіянальны каардынатар ""Вясны"", якога затрымалі цягам апошніх дзён. Раней у Светлагорску затрымалі ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Алену Маслюкову","","","","","","","","","","","","","","","",""
"","","","","","","","",", у Брэсце — ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Уладзіміра Вялічкіна,","","","","","","","","","","","","","","","",""
"","","","","","","",""," у Маладзечне — ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Алеся Капуцкага","","","","","","","","","","","","","","","",""
"","","","","","","","",". Адміністрацыйным арыштам на 10 сутак пакараныя магілёўскія праваабаронцы ""Вясны"" ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Аляксандр і Алесь Бураковы.","","","","","","","","","","","","","","","",""
"","","","2012","message","2020-08-11T08:43:58","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Мінск. ","","","Euroradio","","","","","","","","","","","","",""
"","","","","","","","","Наш карэспандэнт паведамляе, што зараз на Пушкінскай каля 20 супрацоўнікаў АМАПу. Яны разганяюць мінчан, якія прынеслі кветкі на месца смерці пратэстоўца.","","","","","","","","","","","","","","","","","",""
"","","","2013","message","2020-08-11T09:22:33","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Медыкі мінскіх бальніц паведамляюць TUT.BY аб пацыентах з цяжкімі траўмамі, якія паступалі да іх вечарам 9 і 10 жніўня. \n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","Па словах медыкаў некалькіх установаў аховы здароўя, яны ў шоку ад таго, што адбываецца ў мірны час.","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","italic"," ""Мы ніколі з такімі раненнямі не сутыкаліся""","","","","","","","","","","","","","","","",""
"","","","","","","","",", — кажуць лекары і заклікаюць спыніць гвалт.\n\n➡️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://spring96.org/be/news/98973","","","","","","","","","","","","","","","",""
"","","","2014","message","2020-08-11T09:49:26","Вясна / Правы чалавека ў Беларусі","9636739710","У ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Гомел","","","","","","","","","","","","","","","",""
"","","","","","","","","і за вечар 10 жніўня затрымалі ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","да 500 чалавек","","","","","","","","","","","","","","","",""
"","","","","","","","","! У ізалятары ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","няма месца","","https://spring96.org/be/news/98963","","","","","","","","","","","","","",""
"","","","","","","","",". Некаторых змясьцілі ў СІЗА, нехта застецца ў РАУС\n\n Сведка: затрыманых збіваюць і здзекуюцца над імі.","","","","","","","","","","","","","","","","","",""
"","","","2015","message","2020-08-11T11:08:31","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","! В Гродно задержан и избит журналист и музыкант Александр Денисов.\nЕго привезли в Октябрьское РОВД. Разбито лицо, повреждена нога.","","","БАЖ / BAJ","","","","","","","","","","","","",""
"","","","2016","message","2020-08-11T11:22:58","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Да 25 сутак, судовыя канвееры ў ізалятарах. Суды нд удзельнікамі акцый пратэсту ў Мінску і рэгіёнах","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","за 11 жніўня.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","Валанцёры «Вясны» працягваюць маніторыць суды ў Мінску і некаторых рэгіёнах:👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://spring96.org/be/news/98975","","","","","","","","","","","","","","","",""
"","","","2017","message","2020-08-11T11:25:53","Вясна / Правы чалавека ў Беларусі","9636739710","Нам паведамляюць, што каля ст. м Пушкінская ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","пачаліся зарыманні","","","","","","","","","","","","","","","",""
"","","","","","","","",". Салдаты і АМАП хапаюць людзей у тым ліку і па дварах.","","","","","","","","","","","","","","","","","",""
"","","","2018","message","2020-08-11T11:30:53","Вясна / Правы чалавека ў Беларусі","9636739710","❗️","","","2020-08-13T04:35:50","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Калі вас ці вашых блізкіх затрымалі, паведамляйце нам праз тэлеграм-бот","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@viasna_bot","","","","","","","","","","","","","","","",""
"","","","","","","",""," ці на ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","гарачую лінію","","","","","","","","","","","","","","","",""
"","","","","","","","",":\n\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@ViasnaSOS","","","","","","","","","","","","","","","",""
"","","","","","","",""," - тэлеграм. Можна тэлефаванаваць.\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","+","","","","","","","","","","","","","","","",""
"","","","","","","",""," (017) 394 63 11\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","italic","Мы будзем працягваць весці табліцы па затрыманых:\n","","","","","","","","","","","","","","","",""
"","","","","","","","","👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Спіс затрыманых у Мінску:","","","","","","","","","","","","","","","",""
"","","","","","","",""," можна паглядзець ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","на сайце","","https://spring96.org/be/news/98891","","","","","","","","","","","","","",""
"","","","","","","",""," і ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","ў табліцы","","https://cutt.ly/Ud21CaW","","","","","","","","","","","","","",""
"","","","","","","","",".\n👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Спіс затрыманых у іншых гарадах краіны:","","","","","","","","","","","","","","","",""
"","","","","","","",""," можна паглядзець ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","на сайце","","https://spring96.org/be/news/98892","","","","","","","","","","","","","",""
"","","","","","","",""," і ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","ў табліцы","","https://docs.google.com/spreadsheets/d/10uXOUL_4OCPocSLk7yVi6aXawqSI1xWTUWHTfCDH8LY/edit?usp=sharing","","","","","","","","","","","","","",""
"","","","","","","","",".","","","","","","","","","","","","","","","","","",""
"","","","2019","message","2020-08-11T11:40:49","Вясна / Правы чалавека ў Беларусі","9636739710","Задержаны журналисты Алина Скребунова и Александр Сидоревский, успели отправить сигнал SOS.","","","","","MAYDAY","","","","","","","","","","","","",""
"","","","2020","message","2020-08-11T12:11:11","Вясна / Правы чалавека ў Беларусі","9636739710","Учора ў Мінску былі затрыманы непоўнагадовыя ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Ян Галко і Глеб Гунько","","","","","","","","","","","","","","","",""
"","","","","","","","",". Ян - сын журналіста Зміцера Галко. Ён распявёў, што, са слоў Яна, адбывалася на Акрэсціна.\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","italic","""Били кулаками в грудь и в живот. Когда он, стоя на коленях уже на Окрестино, стал под утро засыпать, его ""разбудили"" ударом приклада. На много часов на колени в коридорах ставили всех задержанных подростков (Яну с Глебом 17 и 16 лет), в том числе девушек. Говорит, что видел какую-то комнату, похожую на ""пыточную"", грязную и мокрую, где на коленях стоял голый и окровавленный парень. Всех совершеннолетних раздевали догола и били дубинками. Постоянный поток ругательств, оскорблений, угроз"".","","","","","","","","","","","","","","","",""
"","","","2021","message","2020-08-11T12:30:15","Вясна / Правы чалавека ў Беларусі","9636739710","","text_link","​","","https://telegra.ph/file/8d292308dfe4f52b0a518.jpg","By_Help","","","","","","","","","","","","",""
"","","","","","","","","Дарагія сябры,\nпастараемся адказаць тут разам на ўсе пытаньні пра ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@by_help","","","","","","","","","","","","","","","",""
"","","","","","","","",", якія мы атрымвалі цягам апошняга дня.\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","1. Ці працягнецца выплата штрафаў? \n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","Так, тут нічога не зьмяняецца. На цяпер мы аплочваем тыя штрафы, заяўкі па якіх былі апрацаваныя да 9/8. Калі вы складалі нам заяўку і мы пацьвердзілі, што яна выстаўленая ў чаргу на аплату - вы атрымаеце ад нас паведамленьне аб тым, што аплата была выкананая.\nЯк толькі рэанімуецца праца мэсэнджэраў, мы працягнем працу над апрацоўкай усіх пазасталых заявак. Форма для заяўкі на кампэнсацыю штрафа - ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","bit.ly/byhelpme","","","","","","","","","","","","","","","",""
"","","","","","","","",". Мы й зараз апрацоўваем тое, што маем, але без мэсэнджэраў праверка інфармацыі ідзе павальней.\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","2. Як вы будзеце плаціць параненым у пратэстах? \n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","Мы апрацуем пратакол цягам сёньняшнега дня й заўтра паведамім, якія крокі трэба зрабіць будзе, каб атрымаць дапамогу.\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","3. Ці людзі ў Беларусі ведаюць пра такую агромністую сабраную суму? \n\n","","","","","","","","","","","","","","","",""
